entity,region,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total,log_total,min_5h_activity,min_5h_activity_sin,min_5h_activity_cos,min_5h_activity_%
Entity 10229,America,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.04878048780487805,0.04878048780487805,0.12195121951219512,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.07317073170731707,0.04878048780487805,0.0975609756097561,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,17,2.833213344056216,21,-0.7071067811865477,0.7071067811865474,0.12195121951219512
Entity 1023,East_Asia_Pac,0.03125,0.015625,0.140625,0.03125,0.015625,0.046875,0.046875,0.0625,0.0625,0.046875,0.015625,0.15625,0.015625,0.03125,0.015625,0.0625,0.0625,0.03125,0.03125,0.015625,0.015625,0.015625,0.015625,0.015625,40,3.6888794541139363,21,-0.7071067811865477,0.7071067811865474,0.078125
Entity 10235,East_Asia_Pac,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,2,0.6931471805599453,3,0.7071067811865476,0.7071067811865476,0.19230769230769232
Entity 1024,Central_Asia,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.06349206349206349,0.047619047619047616,0.06349206349206349,0.031746031746031744,0.015873015873015872,0.015873015873015872,0.2222222222222222,0.047619047619047616,0.06349206349206349,0.07936507936507936,0.047619047619047616,0.015873015873015872,0.015873015873015872,0.015873015873015872,39,3.6635616461296463,23,-0.25881904510252157,0.9659258262890681,0.07936507936507936
Entity 1025,Central_Asia,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0975609756097561,0.024390243902439025,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.07317073170731707,0.024390243902439025,0.024390243902439025,0.07317073170731707,0.024390243902439025,0.024390243902439025,0.07317073170731707,0.04878048780487805,0.07317073170731707,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.07317073170731707,17,2.833213344056216,10,0.49999999999999994,-0.8660254037844387,0.17073170731707316
Entity 1026,Central_Asia,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.04411764705882353,0.014705882352941176,0.029411764705882353,0.029411764705882353,0.04411764705882353,0.04411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.07352941176470588,0.08823529411764706,0.17647058823529413,0.11764705882352941,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,44,3.784189633918261,2,0.49999999999999994,0.8660254037844387,0.07352941176470588
Entity 10268,East_Asia_Pac,0.104,0.088,0.072,0.024,0.064,0.032,0.048,0.032,0.056,0.048,0.04,0.04,0.016,0.048,0.04,0.056,0.016,0.016,0.024,0.008,0.008,0.008,0.048,0.064,101,4.61512051684126,19,-0.9659258262890684,0.2588190451025203,0.064
Entity 1027,Central_Asia,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.04838709677419355,0.06451612903225806,0.1774193548387097,0.08064516129032258,0.03225806451612903,0.12903225806451613,0.016129032258064516,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.016129032258064516,0.04838709677419355,0.016129032258064516,0.04838709677419355,0.016129032258064516,0.016129032258064516,0.04838709677419355,0.016129032258064516,0.016129032258064516,38,3.6375861597263857,2,0.49999999999999994,0.8660254037844387,0.08064516129032258
Entity 10274,East_Asia_Pac,0.016129032258064516,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.016129032258064516,0.03225806451612903,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.04838709677419355,0.12903225806451613,0.0967741935483871,0.016129032258064516,0.016129032258064516,0.03225806451612903,0.11290322580645161,0.1774193548387097,0.03225806451612903,0.04838709677419355,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,38,3.6375861597263857,21,-0.7071067811865477,0.7071067811865474,0.08064516129032258
Entity 1028,Central_Asia,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.04918032786885246,0.06557377049180328,0.09836065573770492,0.06557377049180328,0.03278688524590164,0.04918032786885246,0.01639344262295082,0.06557377049180328,0.01639344262295082,0.03278688524590164,0.01639344262295082,0.06557377049180328,0.06557377049180328,0.14754098360655737,0.01639344262295082,0.03278688524590164,0.01639344262295082,0.01639344262295082,0.01639344262295082,37,3.6109179126442243,23,-0.25881904510252157,0.9659258262890681,0.0819672131147541
